Time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12
110,-3.622303324,-9.621354295,-17.01082169,-6.337840059,0.711849663,-6.375274026,-15.64844599,-43.18854291,-11.39849635,1.092315987,-4.073495947,-15.6558659
112,14.40079111,-19.60719134,-35.98479414,-30.3034823,-3.259287728,-10.36243484,-15.60955086,-16.13957884,-28.34626761,-11.86591149,-17.07109803,-22.61438855
114,2.423885535,-26.59302839,-8.958766588,-6.269124532,-9.23042512,-17.34959565,-12.57065573,-11.09061477,-33.29403887,-11.82413897,-8.068700104,-7.572911196
116,-2.553020035,-13.57886544,3.067260963,-11.23476677,-25.20156251,-3.336756464,-26.53176059,-15.0416507,-30.24181013,-23.78236644,1.933697818,-28.53143384
118,6.470074394,-9.564702484,-22.90671149,-31.200409,-7.172699903,-13.32391728,-20.49286546,-50.99268662,-19.18958139,-5.740593918,-25.06390426,-26.48995649
120,-10.50683118,-3.550539531,-6.880683934,-3.16605124,-2.143837294,-19.31107809,-31.45397033,-30.94372255,-23.13735265,-13.69882139,-9.061506339,-15.44847914
122,-10.48373675,-2.536376578,-11.85465638,4.868306524,-2.114974686,-19.2982389,-22.41507519,-22.89475848,-30.08512391,-13.65704887,-3.059108418,-19.40700179
124,-30.46064232,-20.52221363,-19.82862883,-15.09733571,-16.08611208,-16.28539972,-2.376180058,-25.84579441,-9.032895168,-15.61527635,-31.0567105,-33.36552443
126,-7.437547887,-19.50805067,-15.80260128,-5.062977948,5.942750531,-12.27256053,-24.33728492,-30.79683034,-43.98066643,-8.573503823,-18.05431257,-26.32404708
128,-7.414453458,-13.49388772,-14.77657373,-16.02862018,-13.02838686,-20.25972134,-16.29838979,-34.74786627,-38.92843769,3.468268701,-4.051914653,-25.28256973
130,2.608640972,-30.47972477,-24.75054618,2.00573758,5.000475748,1.753117846,-14.25949466,-32.6989022,-17.87620895,19.51004122,-10.04951673,-31.24109237
132,-2.368264599,-11.46556181,-16.72451863,-27.95990466,-14.97066164,-7.234042967,-28.22059952,-34.64993813,-9.823980208,-11.44818625,-16.04711881,-16.19961502
134,-29.34517017,-10.45139886,-24.69849108,-29.92554689,-11.94179904,-14.22120378,-33.18170439,-30.60097406,-26.77175147,-13.40641373,-22.04472089,-29.15813767
136,-6.32207574,-8.437235909,-9.672463526,-17.89118913,-15.91293643,-2.208364592,-26.14280926,-41.55200999,-37.71952273,-2.364641204,-18.04232297,-17.11666032
138,7.70101869,5.576927044,-11.64643598,-9.856831364,-13.88407382,1.804474595,-34.10391412,-22.50304592,-34.66729399,6.67713132,-10.03992505,-10.07518296
140,-26.27588688,-25.40891,-13.62040842,7.1775264,3.14478879,-22.18268622,-10.06501899,-27.45408185,-14.61506525,-3.281096156,-20.03752712,-0.033705612
