DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1072,10730.73072,8.362717996,36.68582888,16.79333722,21.09300842,39.38536945,24.51030111,63.60650296,18.57584517,3.716374591,8.450065961,17.42915703,9.898635587,11.32292073,3.073572446,37.98891423,12.96320963,8.005523941,29.50679891,10.03142145,41.28656751,6.981593046,7.312888305,5.52331256,1.854954322,6.678995315,0.241274648,7.876626338,1.661039658,-2.135058051,5.123964354,10.49683271,15.08944964,8.46645181,-2.301042666,7.705227756,13.80037187,2.785900482,6.078864883,11.14696239,17.80100176
1074,1073,10740.74073,2.616000167,31.7165468,6.643481558,27.36658419,25.88737869,11.04017627,42.05518699,13.3031366,4.864038494,29.1606701,30.34338888,1.729514081,-1.710173991,12.41092336,21.66722921,3.843219806,6.057784811,33.1474673,9.357135781,34.23544118,3.51067758,4.414990751,10.34507529,1.700637193,4.974619778,2.137837871,-4.065311871,1.626402435,3.888131389,8.818689402,1.006366528,11.74679048,3.510209803,-2.360123434,3.222694151,14.84826799,7.986449375,25.78778535,18.06165331,5.038614994
1075,1074,10750.75074,0.321283221,38.26728441,35.62021591,51.35765709,36.77922741,42.87021988,51.59539255,29.02604933,4.815201391,22.9176811,23.4879454,16.89083313,8.313360558,-2.997580426,25.86183131,14.39774731,6.293625027,33.44292595,4.374472085,40.5480811,5.439982891,7.254980135,4.101854623,7.26904976,6.8644407,9.427707067,3.782721541,2.079796657,7.865302749,19.50764798,9.189548139,17.73766608,9.889927729,-4.68063923,11.87314494,10.85683989,4.61796351,-5.97104108,14.90511562,20.52238156
1076,1075,10760.76075,5.284058775,23.37007971,37.17577884,24.02316616,47.6007535,26.73193811,38.73831131,14.76372462,4.569952141,4.467996019,25.51743455,5.326422115,13.54287704,-3.843961024,19.34902263,15.31109992,8.58090162,46.84499992,6.604925032,29.46943996,6.489056429,11.35066925,8.664428857,4.641674254,2.444211327,7.205294469,-2.278260266,-1.141105098,-1.177780581,22.8851524,14.04408617,29.86595634,5.413072538,-1.703424199,14.97743027,29.1232612,-6.878937135,2.384246752,18.81276968,14.68039706
1077,1076,10770.77076,11.45928525,34.00531951,8.961425871,8.698777043,25.05895848,44.50422407,53.62237213,13.41418646,2.618111254,18.5152307,27.38494644,14.8128995,-2.88292927,16.89900849,36.90915731,17.00899383,7.322876368,25.86275419,7.490313391,24.45825211,5.552544021,3.845014471,13.15631527,-0.608501811,2.046012412,5.548266194,0.593733882,2.474100461,3.040335562,14.23014761,12.8727539,18.76909263,6.127730597,-1.806425514,9.390337118,26.81153956,2.549882018,2.209174747,1.908708217,29.04061005
1078,1077,10780.78077,11.09174803,35.56600959,35.91386964,29.36376286,58.60681088,11.0854345,54.21706448,8.267009538,3.832438227,34.95358893,27.83773029,4.173745613,2.672914438,-0.558987718,35.11359081,15.65159035,4.488801823,13.27093394,7.365398518,24.92657941,2.56922609,7.212397703,33.20421088,1.828181294,4.233234133,10.32669438,5.070497213,1.759425986,11.64309082,11.79619245,16.77369477,15.65262968,22.7252394,-5.19352938,11.7459154,17.60203041,-14.0568951,-10.02096794,9.51225817,19.58698621
1079,1078,10790.79078,4.576102459,30.67980487,29.20091893,40.35895995,38.43130305,12.14143303,48.47953963,10.05407476,5.29627737,20.33676293,26.95842138,-0.597879554,8.180818603,4.438664996,34.74068324,14.40491046,2.898802341,31.60853951,8.522469978,42.82132621,3.301909383,6.428041016,16.60759612,2.668550967,4.268213032,8.139728954,0.896178934,1.375555204,3.181722534,9.312300582,12.27795468,30.36852532,4.23892371,3.527062366,5.815719726,23.67914756,-8.997905583,23.87319869,9.121600311,21.94275899
1080,1079,10800.80079,6.978988741,21.71419646,32.45575461,37.27037548,18.2557605,28.09664224,40.3883732,19.91995883,5.220098388,14.91566087,20.22521746,-5.200856429,2.753249235,8.439087681,17.70764555,14.9534989,6.98611341,6.623000418,7.279153009,17.2791298,2.872070604,9.825825368,22.8949501,2.654938003,7.839837308,4.724514698,-3.645853155,2.468473527,-3.284565488,19.13516578,10.24745496,10.49382,17.98976024,-6.533425742,12.61290432,22.21714855,-0.942286945,6.178375453,9.358739581,25.50919567
1081,1080,10810.8108,7.357835503,30.86636351,36.16882574,-1.705062363,32.82579676,33.46551552,66.08578377,7.232487438,2.434646437,23.80010811,15.8884244,16.57002636,-2.545591744,1.85279833,22.61355751,16.03740865,2.92084519,24.08316471,9.065186535,10.34510881,5.116139186,4.913520954,25.46413029,2.096463368,4.773477852,7.792610751,0.471429752,4.032577646,3.778213297,12.76386744,16.31287139,28.10486608,4.106662326,6.18383205,23.45753511,18.62066728,3.206104564,7.769829664,12.73308024,15.30648041
1082,1081,10820.82081,5.840232145,19.06490026,29.32203817,35.67124732,45.7323199,24.12637536,57.2826617,29.42305442,2.67665925,8.967511826,5.896060998,3.988559035,0.3331657,-5.769979222,9.24948443,16.11055085,6.523089567,39.78846235,7.326453869,38.95188353,2.764625642,5.723242006,8.952340456,5.187185664,3.939630483,6.899471489,1.218306581,2.940623708,-0.667198794,16.48666577,18.27225925,8.289441068,9.329731749,2.592536203,19.15811983,22.61288237,-0.705755969,-1.515996311,13.67102034,20.20666935
1083,1082,10830.83082,4.622142293,19.75647044,47.73851982,23.6313023,33.5929144,18.44985407,65.42408383,19.86432057,1.240598967,31.79069928,29.25858787,17.57130971,10.9074278,1.496518779,31.60172413,9.487010425,5.402025874,22.0965498,5.056291875,35.38073183,5.728986166,6.255387309,12.6101112,3.309900619,2.040499217,7.305475567,-1.412045189,2.010547206,-4.391284517,2.401234314,26.48073613,11.67717442,15.5922804,3.765793015,13.60198387,18.67681598,0.591849775,-0.236389615,11.03138319,33.4278048
1084,1083,10840.84083,3.931800374,27.2903155,38.48558928,22.98555367,39.75173738,29.48952432,59.38502482,17.09429892,2.467745602,15.43790524,25.52003785,6.286189559,6.087597576,-2.106354545,19.21104466,13.01684927,10.13876069,49.59231147,7.358685165,36.18965122,3.682831676,5.512006011,8.303732873,2.510455288,-0.530829917,11.53978752,-0.572031393,1.672853093,3.527543134,8.828288477,5.663901352,14.17964484,12.16469401,2.189744903,10.73985643,26.70160023,6.412431236,-0.602265031,13.01958498,24.12275223
1085,1084,10850.85084,9.036824616,24.88066444,28.04868285,38.62018897,30.23634141,21.28829221,50.07934583,18.78057053,3.974867385,15.11093566,10.37119694,5.290351118,13.65844621,12.47250639,42.64899345,7.339341826,5.812418933,40.56501619,10.54675546,22.34708214,0.203428558,7.194107894,12.14057894,5.628943996,5.121113977,7.238390672,-0.760763127,2.984150215,10.64454971,7.224150933,16.99468691,12.22510573,15.12527754,-3.030442382,10.53758141,19.624355,-3.68049738,-10.9014562,12.06200294,25.87297566
1086,1085,10860.86085,4.22787316,32.64338568,27.35041741,33.37554715,26.95309781,43.93744975,43.63824129,22.75394644,7.155477625,18.59524836,10.34129384,13.68016642,6.24842578,10.70154428,15.99424355,21.95017292,4.301364383,6.914817426,9.132218155,21.09808098,6.661300568,5.321918582,13.23945415,7.089442318,7.483906368,4.978758004,1.356484174,3.072690027,5.461772314,12.56080183,1.795525245,29.60982449,3.278711441,-0.174542355,11.77265298,25.43520662,2.970057243,-0.658637393,11.51109058,25.91998125
1087,1086,10870.87086,7.315946337,29.96829973,60.03100213,20.94527138,44.45158581,6.348880073,62.21609548,9.470092553,0.998228807,39.3450821,15.80166629,4.82150205,4.845084649,5.352776728,20.67550351,11.98507231,3.618617996,37.75576764,7.276321881,29.33833408,3.192722358,11.40954387,14.80015565,2.943132581,10.33855676,3.167533584,1.175986548,2.202390795,2.098576524,20.65877133,14.98590532,9.469223091,2.830557741,1.588224759,14.19174633,25.33309774,9.881016467,-11.72866766,12.17435883,27.42389458
1088,1087,10880.88087,9.823879762,37.4239601,60.15373105,22.82448063,39.57508256,40.01461543,67.5013191,19.72077587,4.307124407,28.76707683,15.39161671,6.907550921,10.39164979,-6.735394013,44.15088031,9.505770958,8.385960717,17.92509134,13.68736508,27.53065502,1.319226075,8.757498889,15.4183542,-0.084219004,4.888408751,7.084592078,5.715902613,1.329722176,-4.341462857,21.38471553,15.67363563,18.55498374,11.22835286,2.697994582,12.72551814,29.51177942,10.78876178,1.034196963,7.577900201,15.76913507
1089,1088,10890.89088,6.614022076,42.32477794,26.95478487,22.44530397,42.07876618,10.54501737,66.20304705,24.07739749,2.006295141,26.72179322,18.81913719,12.14783504,3.796009879,5.341127073,30.22520543,15.25992985,3.374721026,15.20430781,6.610363992,27.45732547,4.257562576,5.837130688,21.78581994,8.005723617,9.407617555,8.194224726,-1.466180537,-0.810157968,2.791901714,13.21008156,-4.653868966,30.08120368,2.86486298,2.937935743,21.59146998,27.21360792,7.519066277,1.369601653,9.141379585,21.1769683
1090,1089,10900.90089,6.409206695,42.25122964,50.48846592,37.32000168,27.05731835,20.14047488,40.57264408,13.29484631,6.203751111,1.394929138,3.46530027,13.43622401,-5.36583569,-2.494206684,27.26900368,28.15374882,3.278552567,39.46451211,8.876642682,30.60582912,2.424140812,7.264127178,19.2560588,2.673459324,3.888974878,0.621042296,-3.981672445,2.973586372,-4.726205554,14.71266677,25.32098864,22.32305284,11.6292305,0.176141916,10.94565724,33.5227139,-0.46849876,3.411030826,14.6357511,15.06775243
1091,1090,10910.9109,7.198910498,53.66127998,32.6230823,35.27775116,19.11147688,4.059092839,38.56241639,-0.213531106,3.716856663,11.57987985,31.33300548,4.319609242,6.154411777,7.035622437,28.24383958,25.52202565,7.410956498,58.24076943,7.930399042,37.11727123,5.579408585,10.33542943,28.61597083,5.71384809,8.389639235,15.68450274,2.971763786,-0.123290547,-0.356623907,7.111579514,-2.814846845,30.25113739,3.632313139,4.401424115,11.69513513,10.58680486,9.786988122,6.482987099,26.99885386,19.66496777
1092,1091,10920.92091,6.648485824,31.84837437,27.51342653,49.08475095,30.9164791,30.99230889,43.53772991,33.10535331,2.583914964,14.83861425,10.91525471,1.241610269,11.04509177,9.36541838,25.3625079,13.89525549,7.171359283,20.58726147,11.41259827,27.9953685,3.269776052,8.58220105,21.58104591,5.34358262,5.011167523,10.66352551,-0.646815609,0.985180925,-0.264668998,-0.792420779,15.92860716,21.40781431,2.0537847,-0.046627742,7.120463441,22.00662748,8.39153694,-7.263249663,12.49292291,19.67586397
1093,1092,10930.93092,4.387844287,26.82120676,25.15346509,52.58552693,43.00259825,27.09419775,62.78565999,25.82905172,0.391879542,25.11771893,23.42269081,14.55659889,16.09743839,24.15571315,15.14322939,21.24149498,8.101708158,36.23766145,5.884749145,30.43226289,2.246406681,10.8049146,19.72517397,8.087243546,-2.627225819,6.542909539,-1.939705911,4.907814814,13.32217736,7.116388452,13.1886773,21.41915721,9.083485792,-6.747213016,5.999775318,21.33052508,11.17825132,14.64461338,16.35633664,-0.064057468
1094,1093,10940.94093,2.546381147,29.48444931,30.54621484,26.58434261,40.89054297,34.96817788,30.37911452,9.167926801,-0.755368595,23.19601217,10.21071183,17.00633597,10.05860434,9.133222402,27.34960097,25.57859015,10.77569699,52.27193205,7.482948889,21.24555112,-1.087011936,8.602277859,21.69115092,5.346717196,2.635594678,5.717119647,-1.737745453,0.68264567,5.902636881,17.209301,15.66275501,17.94440821,13.95956899,-0.170991197,11.97070184,18.55766602,4.276125211,-3.09406509,7.500913472,20.5491497
1095,1094,10950.95094,8.840479523,34.72848427,57.5359017,42.97795683,33.85830583,49.94747753,37.70806962,26.8105864,5.226314392,22.58069443,17.04273307,13.28486765,1.696108771,11.26390013,24.4308205,11.31642637,7.222848607,28.05406537,10.12294763,29.44410419,0.817218921,7.556206663,18.32727422,4.015179681,6.546461262,7.321241822,3.018613017,1.214994367,-4.167930465,12.50477074,23.25205655,4.767058808,16.8996082,-3.542392556,20.58724958,20.63346154,-6.523489316,2.255372338,7.066064126,16.68161114
1096,1095,10960.96095,4.112714694,45.42552058,39.74662357,27.96030234,12.62789431,17.51310938,58.79870842,16.55853419,6.085030095,28.2540906,16.81768973,12.07425155,1.831609527,15.63222831,33.75442176,23.0746689,7.573049689,12.50082127,6.45350638,40.42353719,0.665121915,4.2260837,32.05568634,1.692354902,5.86730096,8.386565064,6.612049198,1.781473265,2.576098124,8.031786815,19.72597683,30.93602014,12.64355411,3.951167812,12.49283816,18.65078911,-0.345920765,9.102989079,1.053617181,12.53188564
1097,1096,10970.97096,10.9036109,24.11716829,25.50905036,33.06218006,36.54565973,18.5780978,64.6451206,19.29006874,5.945577857,3.217534515,13.44918844,18.30227226,11.38737298,13.10412065,13.50161514,13.72760398,6.750076399,17.84138973,6.164690034,30.6604427,3.561733009,8.412975949,9.705089797,3.398337149,7.635656121,5.786637908,0.666711563,1.639929351,-6.593090926,11.77516779,30.7854795,23.37546584,2.778890084,-3.899409365,10.07540726,23.9748671,8.419305276,6.770729869,21.05521464,24.38795798
1098,1097,10980.98097,1.373326535,29.7461477,29.75585057,28.51480074,27.00638752,20.94363024,60.85081584,17.95060511,8.007204945,16.458572,9.264238552,11.02885746,3.653607246,0.22485112,27.91684378,14.32623577,7.493478111,39.7434568,8.573465368,29.01082777,0.803663217,4.64005357,23.867053,5.243783316,0.477008072,9.386442698,1.384706769,2.792678473,-2.895490286,11.90911605,12.79390183,16.0125952,-1.755253944,1.984756066,16.85019505,23.54681347,-3.928779128,6.863293925,27.55810542,15.26199513
1099,1098,10990.99098,9.245871328,29.97409328,58.78853398,53.94144955,65.98910777,31.24646821,43.57960965,38.95390392,64.45212281,47.2593623,43.76250151,37.75833237,83.94534492,58.31919477,89.99126258,85.29264302,91.2951797,75.79408816,89.01764746,40.36045893,77.3691841,100,93.89115919,83.72180118,93.44122948,31.41352402,50.57100249,33.74382574,11.35785389,29.88325568,38.75246022,40.56697814,25.3030921,6.792780305,9.711982599,22.70971045,1.335688818,13.7800747,18.87224235,35.01831579
1100,1099,11001.00099,10.36881567,52.4564216,74.8553289,81.95484039,64.65001314,46.76114051,86.48121882,43.4551586,92.85175215,37.28551175,29.61501871,52.68278271,90.72224376,63.03533381,92.87543055,81.2667746,83.92789849,87.0572978,92.28656576,58.98869754,82.8199273,81.62923758,75.63102462,85.71841516,93.90315354,95.02737241,75.49919157,82.44906017,44.27130599,75.05774659,85.09477984,43.45362929,100,29.63819569,35.88023781,40.20306378,68.08238307,45.54299686,74.03299947,79.35278795
1101,1100,11011.011,19.30002723,57.653432,40.54818237,68.12762156,60.6633764,32.04695831,81.67342428,43.73005183,90.20971536,47.65876981,40.96546428,46.7105062,79.20051032,46.42632141,99.69063624,74.05638513,80.28156729,56.20382998,81.64260823,51.3771867,80.8059297,78.63088363,67.06924412,82.86230063,85.90499984,80.99746465,67.52127743,71.1063161,41.74126041,83.77495057,83.41094293,48.0997795,81.26904407,27.20972532,37.95695724,39.77492441,66.93946264,48.20752967,63.99263591,54.04647379
1102,1101,11021.02101,15.27413827,38.49387132,49.37767929,69.78011023,50.98339194,66.38166325,83.7255317,40.24074095,87.69404356,33.25967301,24.35542613,34.15015068,92.85542137,37.01981981,71.98755384,77.68242448,80.74778051,62.97019688,80.8718443,58.10542124,83.2371279,75.18047775,68.86556969,84.79568048,85.55786476,76.5702292,62.2223108,66.69046055,33.57300878,67.8856068,68.16790026,41.68140874,71.61974279,29.98594501,34.84757545,35.9197183,49.30365502,53.07172006,62.1675136,44.94603055
1103,1102,11031.03102,17.86858826,36.96298061,60.55586604,59.48395991,43.36514951,47.38316829,93.02283474,38.40331541,88.66342784,45.95343887,22.39165204,41.05029867,73.25481558,52.56841003,79.73871497,69.92736395,72.85675401,60.19449996,77.11373397,58.51913215,78.57158329,70.88941393,66.29810701,80.42397762,82.27665923,79.91304089,64.96938642,65.414922,32.78119594,63.34812158,57.93270832,46.22868092,68.25385469,29.92305461,30.5369778,44.81560742,69.16915409,8.797764498,44.45669054,47.73706611
1104,1103,11041.04103,12.08964527,37.66946704,78.01641238,74.624664,57.32523447,39.72642717,91.59054752,46.63690335,88.24575691,50.44402247,20.99639658,31.89716582,81.44194606,57.86529284,61.54500148,92.67867581,71.44717639,66.74149864,74.38391219,36.86157567,82.37880521,68.8387828,69.64956203,84.10259103,82.46586169,72.22288182,58.205737,64.24417287,39.01020535,65.24190847,76.91598413,34.60203326,79.24578731,22.90125627,31.45221509,35.04939833,67.38578315,29.03377304,44.04708694,42.11987795
1105,1104,11051.05104,15.11353272,44.81237514,57.83970531,61.12567703,53.90076402,53.73954135,62.20771953,46.06582369,90.92943984,47.44934935,30.61145309,42.52743289,76.5256785,58.25482482,77.19567661,68.53960949,71.02222241,53.21726546,79.90151483,49.13974506,81.71424558,67.2349164,71.21026156,87.87734775,92.14989507,79.52161161,56.66737296,62.85486655,36.46604052,60.4940987,63.72145861,36.9724002,67.92024429,25.01057787,40.41544008,41.50301906,67.8663,38.68694971,51.73031475,43.63859012
1106,1105,11061.06105,13.38407838,43.31260871,52.65289863,75.09603439,63.90123363,47.94753313,75.55898174,37.22499891,87.39867833,49.45857803,32.45547627,40.58880863,77.64004545,58.4008862,79.14386227,70.13480837,67.4999635,55.870655,72.59459135,62.39382473,80.13612468,65.33893458,74.55700384,86.09963221,81.29894415,72.01400602,54.46261925,62.34104712,30.35455943,72.26458537,78.57717536,37.66012174,70.6644382,22.11328403,37.57623125,30.40445727,61.66685134,33.00283196,43.08361221,33.2554983
1107,1106,11071.07106,17.83513641,56.35076623,59.91629305,67.67386128,37.42228949,51.89068523,89.89022994,45.09845219,87.11121464,44.43959003,33.17895306,23.96800842,88.2076133,60.59615885,76.11272588,80.98342596,69.88062512,80.84368194,75.04977482,56.36934365,80.59590835,72.01211217,64.80766912,82.10002037,84.31346267,68.32052938,56.6492804,59.18099717,34.75633314,62.04024798,70.98314615,44.86747449,68.80730911,25.84383954,37.45949563,41.49623751,70.60420753,34.17757208,39.43790243,39.4732933
1108,1107,11081.08107,12.18915638,39.95395513,32.10122911,53.18923704,57.73157176,29.15287706,75.23231974,37.05395005,86.02391583,52.24322312,31.10604008,24.74743999,74.02966758,52.01889812,72.66976281,75.98805448,65.98449303,77.90344041,70.60405668,62.31521737,79.84215469,65.66698784,80.95831221,83.65499584,86.95114161,66.94176111,59.86534165,56.5553058,35.89191025,64.51460635,58.95237929,48.40861042,56.0694339,22.553998,30.29799473,37.37479882,74.57539065,43.95187496,44.39835626,21.31294459
1109,1108,11091.09108,15.72322765,51.92017479,66.99568011,59.39899152,53.83837998,59.3943725,75.1234324,43.40310686,84.0045602,36.37492825,23.9725308,40.23549682,70.62544054,66.70862467,70.05044314,68.30198791,67.7946785,76.5535367,67.64898809,47.759619,77.87894507,69.48906608,61.77923639,76.84163532,79.50536308,58.0907029,51.28738867,58.09004112,29.80794238,63.25126262,60.76416983,22.36969529,73.62263534,19.82638835,35.01851069,42.65088218,63.72366091,43.83616396,42.85524083,26.3251075
1110,1109,11101.10109,15.55637142,55.03558928,61.46493738,75.01151504,62.71410868,78.1888573,81.94983058,52.17113391,84.74822649,46.01260593,39.09103632,43.0100819,83.89683797,51.1929838,87.64790298,81.90575803,67.34070437,86.22635053,71.67135253,41.97011235,80.86429285,61.76663736,69.20230301,76.92434418,84.2984165,61.39274991,48.42215666,54.95470496,30.75403394,60.65884575,50.61018055,50.90424184,57.32090346,32.50587565,28.82892272,26.85442464,72.80686775,39.87527495,38.03662536,47.06091472
1111,1110,11111.1111,13.10237303,51.2098013,49.34619852,61.96381777,56.68878519,44.1187321,81.55616099,40.80475857,80.2866113,39.16741892,42.86205381,40.61588642,72.48560368,49.43859916,88.39804051,79.00556699,60.7420795,59.86966218,66.39844614,35.25159651,73.51710122,64.51806632,76.24365587,75.74702962,76.37585659,58.47379652,49.30019481,52.3598107,21.06204264,63.40027888,57.64021767,58.57942241,55.3608761,23.40829015,30.50088705,31.95175305,54.51558104,42.5394179,36.32164838,47.51237733
1112,1111,11121.12111,13.62013341,44.2359998,56.97213594,56.40958115,73.50697009,49.47705895,70.20675053,40.19968327,79.10005319,31.64549871,40.34616753,24.24795939,73.11770151,47.03769278,62.97867256,73.41929628,63.87368678,51.66481557,64.74485115,41.17956465,72.48774587,63.53147538,63.87416271,80.42608095,72.78697392,58.06096689,43.31770086,52.35259644,28.96885225,56.54633872,51.089575,44.27494751,59.30149363,22.88841957,28.72017579,37.01331354,57.15245162,50.91926939,30.97183896,45.92716838
1113,1112,11131.13112,16.91073997,59.05869409,47.96585281,78.89953498,61.85855316,50.35984368,87.52821241,41.61818653,83.77724615,48.73508643,41.44308343,27.0658331,83.73599841,67.31751727,72.18990152,78.57253616,61.82754312,53.38589815,66.40582968,59.18959615,72.76234013,64.92542678,60.72705969,78.65246506,75.53954752,57.50812039,47.27641027,51.66122483,26.18862412,49.17570341,55.34066743,48.29927336,54.83123148,16.87729972,32.01728992,32.8222397,53.75933248,34.5568242,34.56778226,30.2188337
1114,1113,11141.14113,20.80200356,47.97424212,55.95449641,84.10299877,72.06961516,54.35059042,97.06841796,38.74149749,79.50611621,40.55997145,36.25970637,31.80900833,65.42564513,57.60920349,83.72231338,78.60749093,57.76379928,40.73904825,65.7114553,52.0769616,69.41814652,61.80546803,75.43567279,75.78036177,71.96035474,55.82627749,41.74410482,49.37274469,20.43408252,66.42932768,58.69405908,29.02375942,68.42157528,21.13809311,30.35031849,50.20599137,63.00292697,31.06343205,33.58515186,53.17070405
1115,1114,11151.15114,17.98646109,51.49015428,78.43655841,50.62750471,66.13787355,35.77249143,86.24669226,33.21174936,80.31124034,52.66919562,40.82727972,22.58809076,75.15455544,59.09727372,52.57484715,68.89973942,59.82213992,59.2958213,62.01922644,56.47609048,72.04623858,59.34904744,55.94085787,74.51843395,73.16439069,53.77578268,44.71798727,48.08983907,25.67033855,63.30932096,55.13252907,46.48494071,57.02312058,22.22320335,26.42471404,26.1416134,62.71348212,48.35453703,35.80290346,43.31058942
1116,1115,11161.16115,15.86984331,42.15914528,63.12860384,59.4236296,57.41801459,60.91665709,86.17130872,45.11999856,77.30394824,48.58194071,31.31048476,29.70714825,63.47068752,47.80278844,69.04913273,73.26366652,56.43683218,54.60067632,60.28150934,62.71539942,68.15577361,58.55279408,65.54581789,74.73378168,67.18967944,46.93281347,39.59114476,51.25186796,25.55380641,57.49915243,53.79572498,37.69179319,58.30837734,20.18036581,34.71414938,35.69434773,47.51348789,60.38884779,21.93159631,33.22471948
1117,1116,11171.17116,13.57408178,41.92343371,59.75527295,70.58066563,62.16995452,54.62702332,87.42770102,46.80171018,77.4239361,42.27617803,39.33218851,31.25741928,55.8202086,44.74199791,54.4869096,77.81677819,55.65731672,72.9929206,63.23944398,45.94274064,70.67633497,59.16953337,77.41278461,71.77637479,66.01448509,52.74452872,35.98720263,45.1229168,33.44643446,50.1211862,71.72599706,46.71123461,58.49968277,21.87294387,35.43793846,32.93076302,48.04184985,43.98294666,16.30119756,25.19597716
1118,1117,11181.18117,6.654945642,65.49268334,57.64219028,54.80201816,60.15080056,34.05971419,71.18673652,36.80944717,75.94427724,53.96955432,26.81075087,33.70647052,80.30828759,61.82062103,50.85672134,71.09032524,60.2295889,53.43628314,65.65544146,60.73641758,66.36815999,59.20600718,72.01309927,76.37733474,67.55067406,49.58985053,39.95551344,44.53949539,38.21418952,48.86806989,51.51708209,39.80497727,54.91966979,17.36067108,36.9173758,32.255936,67.03479323,48.08441561,21.79623878,37.22066188
1119,1118,11191.19118,15.16219276,53.05522686,38.40040487,63.0025821,78.30421793,19.92831093,84.99029996,46.47353644,74.72968691,55.64531899,21.52815127,37.868772,66.75285026,46.45092235,63.43739458,78.54631569,59.93351807,90.25456098,65.46689156,53.17073833,61.79739285,58.75738434,63.47487937,67.14710986,63.35341279,55.94568169,34.37974518,45.35237864,18.89046968,57.57365662,47.42275225,26.19454158,49.13164687,15.48671156,20.43773218,26.81777577,67.79671499,20.50674923,25.05429061,32.78803747
1120,1119,11201.20119,10.86370367,47.86590484,68.00481377,66.05000438,36.92381621,45.39749487,81.95820653,35.10447572,74.78284653,60.14374716,14.27220928,27.64046832,76.72715342,57.75844475,69.80327581,61.38484008,58.47555339,60.38810263,59.85609453,47.59222392,62.19150872,53.91777773,61.27970345,70.21853244,64.02950788,51.56629936,32.62760237,44.26773599,28.08159612,61.66859223,44.69845411,19.29264871,57.99355863,20.68721075,30.76492468,37.98861119,60.01638399,36.78441494,27.61732373,19.18280898
1121,1120,11211.2112,19.96047026,67.36089811,67.4764955,77.35050537,41.25389463,44.92207408,81.63154453,43.71036094,69.92887193,61.77635764,9.068915479,29.45328027,60.56655489,52.53294027,49.92477465,67.87156444,54.75826359,64.24788042,59.99176965,54.83069613,64.44599282,55.631602,76.01659087,63.97002653,66.80998344,48.30882389,33.40734365,43.38053544,33.25280429,53.64194533,50.89899974,48.01594816,65.2357158,15.68604049,30.64739149,40.81618881,57.22156113,49.1909223,28.43893045,24.42031018
1122,1121,11221.22121,22.08178008,45.64070546,73.36420637,68.18233602,65.68625666,30.57062637,79.16063967,34.15240439,69.16921079,40.11757993,26.75888623,19.32130681,64.68380966,54.0309967,74.89757734,67.40777348,57.88662161,46.1718862,54.33440821,59.85257517,60.65875292,49.28912103,55.03733321,67.11919383,59.41687454,47.58583,35.13082452,42.26448356,28.91466672,51.00259511,54.67284397,34.89751798,59.72961872,18.17923784,29.08243445,37.02594101,62.91773067,28.06500664,22.03040604,35.20851957
1123,1122,11231.23122,8.491327609,53.71444618,54.75235795,45.97742862,30.13964345,29.49267028,72.12484277,23.62285506,71.88488398,53.95492465,31.25694966,25.48834405,61.15939985,45.95782281,58.65060298,67.9454411,55.18134834,50.03165349,54.00168961,61.32912075,63.75052954,55.11635329,60.00517851,66.11904905,61.02886852,50.08676761,32.40896649,41.63646466,31.46896114,43.49961668,41.23248389,43.62252239,49.50535433,21.28483093,23.92817776,19.85909714,51.53189875,55.21113704,14.08183942,31.31442557
1124,1123,11241.24123,13.00505032,42.07294113,39.44397492,55.47108802,70.97243026,43.65819553,80.81070156,40.97999032,67.46120917,41.83906429,30.41676229,33.22887046,66.83366959,40.99906804,73.02830753,55.68976191,54.49044698,66.50448141,56.3860782,55.09185108,61.46311457,52.32816347,48.71484979,63.40217557,64.3315255,50.40592413,28.70991341,42.11088417,33.00529602,48.69889822,49.3956517,34.92810871,49.18670606,12.77935031,24.93762827,34.24639203,53.72244583,28.19619263,23.73459485,33.07364131
1125,1124,11251.25124,20.70925681,51.6971989,77.66018009,46.81598984,32.70795424,68.05616033,69.82983283,39.83109105,67.32758788,55.66856263,22.27821541,38.06330096,62.02461641,50.10516718,77.37249447,64.51623686,51.11961912,44.3703546,60.27913059,39.59448875,59.89398197,53.27402815,71.28864785,60.46718575,59.61714172,44.82487828,29.68275993,37.31580136,32.31365119,52.21636468,38.39470936,42.02976286,50.65494591,17.74728445,32.10509334,33.16631962,55.51125383,43.52970162,24.71396634,23.05930567
