DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,90.09009,28.54530874,-2.812015293,73.87671676,39.40462817,34.29225708,56.27132917,6.949329965,31.65137908,10.68157014,2.868772268,22.05829539,35.31146362,30.15893398,21.88968222,21.44360959,8.836899624,10.55971004,36.29478523,13.23305182,43.84437234,9.19512625,7.397700179,33.62258126,15.98925578,17.13370859,7.198165951,7.415371396,7.307310684,4.596422081,19.27315459,38.00013224,3.19000762,24.199298,6.808088147,27.8524979,28.7025342,24.09992242,14.34843463,16.42194433,27.94005548
11,10,100.1001,16.36549346,6.916319846,44.73407824,37.978473,37.34653783,69.55451049,-0.033759154,38.72274686,11.31038524,-8.18774163,19.49100646,32.32929569,46.88475968,29.86114305,8.621516325,16.16604918,16.85481966,62.75512029,18.77184591,67.81447582,4.124290593,1.133221863,-5.740072403,13.01128363,20.10212797,11.26237488,4.015041528,5.813274491,10.15667774,26.60928392,1.491912842,11.48573094,5.509451125,19.9835516,15.92491814,8.646105188,13.41061619,25.03965214,20.6090245,20.89093432
12,11,110.11011,15.93252594,13.54733395,26.47566283,37.06533215,32.78622379,50.33280974,-2.456198026,36.59399218,6.900452307,4.890596915,5.206020784,35.77609206,34.80468715,28.60155307,18.63685353,12.70459678,11.47944544,53.40530919,15.65034658,60.64130789,5.260318654,8.540009312,21.8244002,15.8183355,17.35440644,4.999014224,-1.934063953,7.505814499,7.856227611,21.34619435,0.640124644,12.92570196,22.2597736,0.641262197,30.78272716,22.43705416,12.25887326,24.23866015,12.43061263,2.458050803
13,12,120.12012,20.62206134,1.726161755,57.67434831,56.62055987,42.49425705,36.35161249,8.935014986,34.38239575,8.811173167,15.06780996,16.06528184,32.36008761,34.56431228,22.63608007,-0.774506102,14.71647552,10.44383622,36.92636697,15.12734341,75.90955653,8.80011189,6.137799031,15.85462179,14.583891,17.40053009,5.311126844,-0.368642335,6.163198848,13.23875126,17.08408804,19.86699469,2.444454748,17.43382852,12.31365007,17.07586805,23.45892483,18.43429144,25.03971632,10.58384332,17.39104002
14,13,130.13013,16.21541376,1.41847934,47.81754109,31.70713532,20.87727027,48.79308976,7.058484349,25.04153506,6.390921218,-0.869028781,5.594710963,25.30783666,19.78621841,24.93303294,25.3018494,15.66657566,13.44019559,32.84112604,14.35060974,51.84455494,3.040520162,2.7601083,4.35706414,8.924669761,18.35433776,5.072033977,4.770888733,2.961361187,8.839316051,22.43488244,10.78994387,5.303419652,-2.513692829,7.042934398,11.56775434,5.894091537,8.26024669,15.91606357,13.37866943,26.0754712
15,14,140.14014,18.69295348,8.784273072,41.74143767,50.0506014,34.42754341,43.49504486,9.629441097,41.04434716,9.324937922,5.208554526,-1.491133789,30.75933976,17.35985971,13.20942863,11.39385505,29.5481564,10.57069281,5.010410663,8.839147347,44.01234283,8.603712071,1.888529892,18.99982253,14.89440029,13.18154483,4.705330805,3.556920382,3.014419301,-4.316793544,17.97989835,34.59049427,-10.05661808,14.55435189,8.579443189,13.46425547,24.72805255,16.8475715,5.727110353,11.97195849,10.45348426
16,15,150.15015,15.00569588,-8.275467282,40.64905379,26.61487195,25.62620862,38.14913307,8.325611972,22.01343204,10.75519354,1.957028605,7.414585134,37.14092979,29.3842905,25.4960433,5.535089368,15.62292856,10.13293947,59.00009838,14.39879563,48.93232623,0.705265549,4.406018998,14.095072,9.438977331,14.67590601,11.11969522,2.491369611,0.723469641,8.798198375,13.38215608,15.4198799,14.55130054,0.154577837,17.50975453,10.04789472,16.4136708,19.34871274,7.186064525,9.104114247,26.10943044
17,16,160.16016,16.02409669,8.063278585,30.18058577,35.53449777,52.4138608,44.49878827,2.216643845,35.60074163,5.119301602,-7.04967113,20.06531998,32.31748545,30.89843172,10.41429569,13.60339488,9.441707833,13.04065588,63.36010689,15.10061914,49.88354281,5.683220862,3.090319385,25.6888335,15.76890262,18.55799624,5.515654058,4.128913019,7.1473414,3.730366533,14.16796273,22.15187315,-1.015261409,21.40650469,7.6352874,22.50687674,13.06900575,6.199054541,31.46461418,15.81967433,28.12438254
18,17,170.17017,8.264891936,9.77947324,30.19533715,23.10247718,36.3024318,28.10744261,8.569887684,27.2441905,8.152943818,-1.811629485,20.6975657,35.0941074,28.87317976,19.92640654,11.1140014,23.29474797,8.446838,40.51975769,16.75715566,58.24259697,5.621316862,4.266192414,-0.299705694,11.54523425,16.05287666,8.839014226,2.117730669,-0.158245707,2.192646183,1.620562019,18.20640962,-1.431574817,11.80102886,10.16844685,13.26657946,15.97870045,15.11176452,7.704812567,8.795592353,31.53458741
19,18,180.18018,13.70277478,8.882284275,12.18375066,0.117695425,32.06956452,42.66209751,9.6470203,28.44323558,8.508385083,3.479373781,10.00545861,29.2199501,21.59874863,19.66046878,20.11817769,21.13279372,14.62428017,40.98615376,15.85266052,45.81785205,8.422326184,1.525604004,15.19601733,11.72619383,15.87033394,5.317501589,-6.176450436,-0.345154969,-2.904202995,13.8148184,1.938524818,4.142346011,0.33389584,13.94322166,8.163291637,21.02077851,15.52096848,13.91795101,11.98670823,31.35874342
