DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,
Date:, November 21 2024 13:23:20,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,
,,,,,,,
,,,,,,,
Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable
,,,,,,,
integer,id,ID of each record,,,,,
double,Cell ID: 106 (X): T (msec),(X): Cell ID: 106 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 106 (Y),Raw Ci on CYm API F(t) for Cell ID: 106 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (X): T (msec),(X): Cell ID: 115 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (Y),Raw Ci on CYm API F(t) for Cell ID: 115 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (X): T (msec),(X): Cell ID: 117 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (Y),Raw Ci on CYm API F(t) for Cell ID: 117 (Y),,TRUE,FALSE,FALSE,
,,,,,,,
,,,,,,,
id,Cell ID: 106 (X): T (msec),Cell ID: 106 (Y),Cell ID: 115 (X): T (msec),Cell ID: 115 (Y),Cell ID: 117 (X): T (msec),Cell ID: 117 (Y),
131,1301.3,133.6408203,1301.3,128.5222277,1301.3,130.0688259,
132,1311.31,133.5716797,1311.31,128.7222765,1311.31,129.7773279,
133,1321.32,133.5908203,1321.32,128.7344895,1321.32,129.6356275,
134,1331.33,133.7185547,1331.33,128.5532487,1331.33,129.2753036,
135,1341.34,133.5333984,1341.34,128.5830484,1341.34,129.3643725,
136,1351.35,133.496875,1351.35,128.5420127,1351.35,129.7692308,
137,1361.36,133.0695313,1361.36,128.3534441,1361.36,129.0647773,
138,1371.37,133.3894531,1371.37,127.9340498,1371.37,129.48583,
139,1381.38,133.5072266,1381.38,128.3060576,1381.38,129.9878543,
140,1391.39,133.9582031,1391.39,128.2779678,1391.39,129.1133603,
141,1401.4,134.2185547,1401.4,128.4616512,1401.4,128.6356275,
142,1411.41,134.0398438,1411.41,128.3578407,1411.41,129.5789474,
143,1421.42,134.1923828,1421.42,128.1675623,1421.42,129.4939271,
144,1431.43,133.9464844,1431.43,128.320469,1431.43,128.5951417,
145,1441.44,133.9427734,1441.44,128.1929653,1441.44,128.2631579,
146,1451.45,134.0373047,1451.45,128.2684416,1451.45,129.1700405,
147,1461.46,133.7070313,1461.46,128.4237909,1461.46,129.3319838,
148,1471.47,133.7853516,1471.47,128.309233,1471.47,129.9230769,
149,1481.48,133.6785156,1481.48,128.3419638,1481.48,130.2186235,
150,1491.49,133.5115234,1491.49,127.9174402,1491.49,129.5384615,
151,1501.5,133.5830078,1501.5,128.1585247,1501.5,129.5182186,
152,1511.51,133.5964844,1511.51,128.5896434,1511.51,128.7044534,
153,1521.52,133.7728516,1521.52,128.3446507,1521.52,130.5546559,
154,1531.53,133.9912109,1531.53,128.2999511,1531.53,129.6923077,
155,1541.54,133.9900391,1541.54,128.0148999,1541.54,129.8623482,
156,1551.55,133.6564453,1551.55,128.2076209,1551.55,130.2995951,
157,1561.56,133.5982422,1561.56,128.2686859,1561.56,129.8421053,
158,1571.57,133.6865234,1571.57,128.1038105,1571.57,129.1133603,
159,1581.58,133.4050781,1581.58,128.4316072,1581.58,129.5708502,
160,1591.59,133.5605469,1591.59,128.3627259,1591.59,129.7813765,
161,1601.6,133.5984375,1601.6,128.630679,1601.6,128.9109312,
162,1611.61,133.7480469,1611.61,129.3978994,1611.61,131.1983806,
163,1621.62,133.4740234,1621.62,129.5625305,1621.62,128.9676113,
164,1631.63,133.3876953,1631.63,129.6170005,1631.63,129.7975709,
165,1641.64,133.7470703,1641.64,129.4606742,1641.64,130.6396761,
166,1651.65,133.6130859,1651.65,129.7066439,1651.65,128.7935223,
167,1661.66,133.5720703,1661.66,129.6946751,1661.66,130.3157895,
168,1671.67,133.8189453,1671.67,129.3234001,1671.67,129.48583,
169,1681.68,134.2550781,1681.68,129.1411822,1681.68,129.4251012,
170,1691.69,134.0169922,1691.69,128.9318515,1691.69,128.8582996,
171,1701.7,133.7953125,1701.7,129.2574499,1701.7,129.5425101,
172,1711.71,134.1615234,1711.71,129.0715681,1711.71,131.4817814,
173,1721.72,134.2119141,1721.72,129.3744504,1721.72,130.0688259,
174,1731.73,134.0244141,1731.73,129.6846605,1731.73,131.1376518,
175,1741.74,134.2244141,1741.74,129.320469,1741.74,130.3765182,
176,1751.75,134.2177734,1751.75,129.0911089,1751.75,129.7894737,
177,1761.76,134.109375,1761.76,129.2083537,1761.76,130.4777328,
178,1771.77,134.3494141,1771.77,129.2066439,1771.77,129.2591093,
179,1781.78,134.8214844,1781.78,129.4714216,1781.78,129.8178138,
180,1791.79,135.1316406,1791.79,129.295066,1791.79,131.2226721,
181,1801.8,135.0130859,1801.8,129.3639472,1801.8,129.9473684,
182,1811.81,134.9722656,1811.81,129.3133854,1811.81,129.3360324,
183,1821.82,135.0300781,1821.82,129.5451881,1821.82,130.9959514,
184,1831.83,135.3763672,1831.83,129.6497313,1831.83,130.1821862,
185,1841.84,135.3265625,1841.84,129.7256961,1841.84,130.9068826,
186,1851.85,136.0515625,1851.85,129.9802149,1851.85,131.5789474,
